"","X","n"
"265","#tobeapartner…",6
"266","#today",6
"267","#venti",6
"268","#yay",6
"269","#…",5
"270","#🍓",5
"271","#ขอให้ขายเถอะเนอะ",5
"272","#arizona",5
"273","#avatar",5
"274","#barnesandnoble",5
"275","#better",5
"276","#BTSBBMAS",5
"277","#caffeine",5
"278","#Caramel",5
"279","#celeb",5
"280","#celebrities",5
"281","#coconut",5
"282","#coffeeaddict",5
"283","#Cream",5
"284","#cutiesaturday",5
"285","#deals",5
"286","#Deals",5
"287","#Delighting",5
"288","#entrepreneur",5
"289","#ESCIta",5
"290","#frap",5
"291","#FrappuccinoHappyHour?",5
"292","#friday",5
"293","#funny",5
"294","#halfpriced",5
"295","#happyhour…",5
"296","#inc",5
"297","#momlife",5
"298","#NYC",5
"299","#paranormal",5
"300","#photo",5
"301","#PokemonGo",5
"302","#PR",5
"303","#Recipe",5
"304","#Restaurant",5
"305","#RT",5
"306","#SecretMenu",5
"307","##skincare",5
"308","#Starbucks!",5
"309","#Starbucks.",5
"310","#StarbucksGrandeWednesdays",5
"311","#starbuckslove",5
"312","#StarbucksPrinceton…",5
"313","#Startup",5
"314","#strawberries",5
"315","#Strawberry",5
"316","#summary:",5
"317","#summertime",5
"318","#technology",5
"319","#thezonecast",5
"320","#tokyo",5
"321","#toys",5
"322","#travel",5
"323","#treatyoself",5
"324","#Vegan",5
"325","#Venti",5
"326","#way",5
"327","#Yum",5
"328","#カスタマイズ",4
"329","#1",4
"330","#awesome",4
"331","#babies",4
"332","#BNCafé",4
"333","#BolsaMx",4
"334","#bradenburson",4
"335","#Brooklyn",4
"336","#cheers",4
"337","#cheesecake",4
"338","#cherry",4
"339","#cherrypie",4
"340","#cock",4
"341","#cofee",4
"342","#CoffeeLovers",4
"343","#cold",4
"344","#CumpleañosFrappuccino",4
"345","#DefendtheLand",4
"346","#Digital",4
"347","#DigitalMarketing",4
"348","#diy",4
"349","#drinks…",4
"350","#Dubai",4
"351","#Entrepreneur",4
"352","#Eurovision:",4
"353","#FelizJueves",4
"354","#fitnessworldabs",4
"355","#FLATEARTH",4
"356","#FoodPorn",4
"357","#frapp",4
"358","#frappuccino?",4
"359","#Frappuccino®",4
"360","#frappyhour…",4
"361","#FrappyHour!",4
"362","#FridayFeeling",4
"363","#GlutenFree",4
"364","#greentea…",4
"365","#HalfOff",4
"366","#Happy",4
"367","#Huffington",4
"368","#icecoffee",4
"369","#icecream",4
"370","#InMyUtilityBelt",4
