"","retweeted_status.user.screen_name","n"
"253","Markus_Moos",6
"254","mic",6
"255","MomentsES",6
"256","munchies",6
"257","mylifeaslitliz",6
"258","ndThatsAnOldHag",6
"259","nickasfrick",6
"260","officialkpxii",6
"261","OliviaMesser",6
"262","roach_nigga",6
"263","Salon",6
"264","Sea3P0",6
"265","slickdeals",6
"266","smithleannemily",6
"267","SoyBienMamon",6
"268","tastemade",6
"269","tkelly767",6
"270","yummycuisines",6
"271","Anth0nyAceved0",5
"272","bdunkelman",5
"273","Braungardtanner",5
"274","CauseWereGuys",5
"275","Distracted_Dad",5
"276","DivaliciousCFVY",5
"277","edubsbux",5
"278","fatihguner",5
"279","IPLawAlerts",5
"280","istarbucksmenu",5
"281","kahvve_",5
"282","KarukePatata",5
"283","kaylawrightofc",5
"284","LaStampa",5
"285","loryannramos",5
"286","Luigi0591",5
"287","maaannddaaa",5
"288","malaysiastudent",5
"289","MLive",5
"290","MyEverydaySavvy",5
"291","outspokenid",5
"292","pausantoss",5
"293","PenfieldSbux",5
"294","POPSUGARFood",5
"295","p_psrp",5
"296","puifaipanita",5
"297","RamosKmarie",5
"298","RetailDive",5
"299","simpleethrifty",5
"300","snopes",5
"301","StarbucksAu",5
"302","streadys",5
"303","ThatsFoodPorn",5
"304","tianiii",5
"305","trishvlee",5
"306","WendyWinny",5
"307","ZulianaEusoff",5
"308","929PJH",4
"309","AdelaineMorin",4
"310","ajc",4
"311","ANightOwlBlog",4
"312","bcareyy",4
"313","BDonahueLaw360",4
"314","bongtao",4
"315","BrennanArcement",4
"316","Britters7Negron",4
"317","cammakid",4
"318","Circa",4
"319","CITMAuk",4
"320","curlyaliyah",4
"321","DanDarkPill",4
"322","davcha8",4
"323","DenkyuuMedia",4
"324","doktorj",4
"325","DWillDoesIt",4
"326","emilylumpkin1",4
"327","etaerealtaeger",4
"328","Fabulousmag",4
"329","HeatherL5599",4
"330","IAmSolfi",4
"331","InteProperty",4
"332","itselizabeth_h",4
"333","iusam__",4
"334","JoeysWordTour",4
"335","KIRO7Seattle",4
"336","klfrsr",4
"337","layneblittle",4
"338","MakeupForWOC",4
"339","Marcasur",4
"340","markfidelman",4
"341","_MatthewBowman",4
"342","mellohorn21",4
"343","micheledalai",4
"344","NyleDiMarco",4
"345","OvaryFeisty",4
"346","PerfectDailyG",4
"347","Phillipasoo",4
"348","Rustartruck",4
"349","SaraFHawkins",4
"350","saya3233",4
"351","SELFmagazine",4
"352","sk8demo",4
